Timestamp,Username,Your name,The name of your language:,"Citation for your grammar (book title, author, publisher, year):","Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different word-formation strategies in your language?,4. What is the basic word order of your language?,5. How does your language pattern with respect to headedness?,6. How does your language behave with respect to agreement?,7. How does your language behave with respect to case?
2018/01/09 11:42:55 PM AST,80ffecf5d511138f,9bfc93dcd4e6b896,Kabardian,"A Grammar of the Kabardian Language, John Colarusso, London: University of Calgary Press, 1992) ","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating;Polysynthetic,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding,Roughly even mix of prefixing and suffixing,SOV,Consistently head-final,"Has agreement, with an ergative/absolutive alignment","Has case, with an ergative/absolutive alignment"
2018/01/10 12:01:13 AM AST,33130919376ab910,09027b4607c67529,Hainan Cham,"Thurgood, Graham, Thurgood, Ela, and Fengxiang, Li. 2014. A Grammatical Sketch of Hainan Cham : History, Contact, and Phonology. Boston: De Gruyter.","No, my grammar was hard to work with",Isolating;Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Reduplication,Complex word-formation is very infrequent; my language is mostly isolating.,SVO,Mostly head-initial,Doesn't have agreement,Doesn't have case
2018/01/10 12:53:44 AM AST,2f5a7eef6fcdb503,16202a8436c1b4e8,Kotiria,"Stenzel, Kristine. 2013. A Reference Grammar of Kotiria (Wanano). Lincoln and London: University of Nebraska Press","Maybe (e.g., perhaps only for a student with a linguistics background)",Fusional,Affixation (prefixation or suffixation);Suffixation;Prefixation;Suppletion,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with some other sort of alignment","Has case, with some other sort of alignment"
2018/01/10 4:40:12 AM AST,a925b88c4f824d07,a886199cf92bb54b,Tundra Nenets,"Nikolaeva, Irina. 2014. A Grammar of Tundra Nenets. Walter de Gruyter GmbH: Berlin/ Boston.","Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding;Internal change;Suppletion,Mostly suffixing,SOV,Mostly head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/10 11:59:49 AM AST,f3740991ee95165b,2383d96a2b8eb66b,Hualapai,"Watahomigie, L., Bender, J., Watahomigie, P., Sr., & Yamamoto, A. Y. (2001). Hualapai Reference Grammar (Endangered Languages of the Pacific Rim). Osaka, Japan: Faculty of Informatics, Osaka Gakuin University.","Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Root-and-pattern;Internal change;Stress or tone shift;Reduplication,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/10 3:07:36 PM AST,f51a75e184b301c3,30f76ebcd27ab674,Pipil,"Campbell, Lyle. The Pipil Language of El Salvador. Berlin: Mouton, 1985.","No, my grammar was hard to work with",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing,VOS,Consistently head-initial,"Has agreement, with some other sort of alignment",Doesn't have case
2018/01/12 4:09:49 PM AST,56b4f673eab08ab0,4d0ca1eb4712c93c,Yuki,"Yuki Grammar: With Sketches of Huchnom and Coast Yuki, Uldis Balodis, University of California Publications, 2016","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding,Exclusively suffixing,More than one basic order,Consistently head-final,Doesn't have agreement,"Has case, with an ergative/absolutive alignment"
2018/01/12 5:49:05 PM AST,58275fc1b36a7a18,ae0d19729b6f811a,Cupeño,"Hill, Jane H. A Grammar of Cupeño. Vol. 136, University of California Publications, 2006.","No, my grammar was hard to work with",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Root-and-pattern;Reduplication;Conversion,Mostly suffixing,SOV,Mixed headedness (roughly equal initial/final),"Has agreement, with a nominative/accusative alignment","Has case, with some other sort of alignment"
2018/01/12 8:57:50 PM AST,b9fea6da80862c8b,ec0da0ca6589e605,Chalcatongo Mixtec,"""A Grammar of Chalcatongo Mixtec,"" Monica Macaulay. University of California Press, 1996. ","Yes, my grammar was great to work with",Analytic (but not isolating),Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Internal change;Stress or tone shift;Conversion,Mostly prefixing,VSO,Consistently head-initial,Doesn't have agreement,Doesn't have case
2018/01/13 2:41:43 AM AST,3a332436fb15cbe0,1c25b5dd9f0ee945,Aguaruna,"A Grammar of Aguaruna (Iiniá Chicham), Simon E Overall, De Gruyter Mouton, 2015.","Yes, my grammar was fine to work with (even if not perfect)",Fusional,Affixation (prefixation or suffixation);Suffixation;Compounding;Reduplication,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/13 5:26:56 PM AST,920e02995fe8808f,14b455c21dc05bd0,Marquesan,"Cablitz, Gabriele H. Marquesan a Grammar of Space. W. De Gruyter, 2006. ","Yes, my grammar was great to work with",Agglutinating,Affixation (prefixation or suffixation);Prefixation;Compounding;Reduplication,Mostly prefixing,VSO,Consistently head-initial,Doesn't have agreement,"Has case, with a nominative/accusative alignment"
2018/01/13 5:41:49 PM AST,c6c9166077c13539,e8c2547bfb77ebec,Berbice Dutch Creole,"Kouwenberg, Silva. (1994). A grammar of Berbice Dutch Creole. Berlin: Mouton de Gruyter.","Yes, my grammar was great to work with",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding;Suppletion;Reduplication,Mostly suffixing,SVO,Mixed headedness (roughly equal initial/final),Doesn't have agreement,Doesn't have case
2018/01/13 5:43:16 PM AST,a6c4ac6f129e2927,14a0f61491b3fed1,Ingush," Ingush grammar, Nichols, Johanna. Berkeley, Calif.: University of California Press, 2011","Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Suppletion;Stress or tone shift,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with an ergative/absolutive alignment","Has case, with a nominative/accusative alignment"
2018/01/13 8:51:01 PM AST,bbff32a2110db751,1ab2ffe373bd579a,Choctaw,"A Choctaw Reference Grammar, George Aaron Broadwell, 2006, University of Nebraska Press","Yes, my grammar was great to work with",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Infixation;Stress or tone shift,Roughly even mix of prefixing and suffixing,SOV,Mostly head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/14 12:38:59 AM AST,e5673f0a3458f544,619b68f2e8314e4b,Evenki ,"Evenki, Igor Nedjalkov, Routledge, 1997.","Yes, my grammar was great to work with",Agglutinating,Affixation (prefixation or suffixation);Suffixation,Exclusively suffixing,SOV,Consistently head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/14 2:06:09 PM AST,f92ce16eaf07d117,5f48ec4bcaca4bf6,Jingulu,"Pensalfini, Robert J. A Grammar of Jingulu: An Aboriginal Language of the Northern Territory. Pacific Linguistics, 2003.","Yes, my grammar was great to work with",Fusional;Agglutinating,Affixation (prefixation or suffixation);Suffixation;Infixation;Reduplication,Mostly suffixing,No basic word order (at least seemingly free word order),Mixed headedness (roughly equal initial/final),"Has agreement, with some other sort of alignment","Has case, with some other sort of alignment"
2018/01/14 2:15:55 PM AST,a775cace3c3c7cda,72abe0a538f7dbdb,Crow ,"Graczyk, R. (2007). A grammar of Crow. Lincoln: Univ. of Nebraska Press.","Yes, my grammar was fine to work with (even if not perfect)",Polysynthetic,Affixation (prefixation or suffixation),Mostly suffixing,SOV,Consistently head-final,Doesn't have agreement,"Has case, with some other sort of alignment"
2018/01/14 3:33:13 PM AST,bbd8052519800c13,4ed54259ce23c4e5,Wangkajunga,"Jones, Barbara. 2011. A grammar of Wangkajunga: a language of the Great Sandy Desert. Canberra: Pacific Linguistics at the Australian National University.","Yes, my grammar was fine to work with (even if not perfect)",Fusional,Affixation (prefixation or suffixation);Suffixation;Compounding;Root-and-pattern;Reduplication;Conversion,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with an ergative/absolutive alignment","Has case, with an ergative/absolutive alignment"
2018/01/14 5:43:37 PM AST,9d088aeccbe3e211,e97305ba6a33d4e7,Pipil,"The Pipil Language of El Salvador, Lyle Campbell, Mouton, 1985","Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Suppletion;Stress or tone shift;Reduplication,An equal mix of affixation and other word-formation strategies,VOS,Mostly head-initial,"Has agreement, with some other sort of alignment",Doesn't have case
2018/01/14 5:54:45 PM AST,aad0769f02b2c0f8,821e5ede46d4f41d,Kawaiisu,"Zigmond, Maurice L, et al. Kawaiisu: A Grammar and Dictionary with Texts. Edited by Pamela Munro, vol. 119, University of California Press, 1991.","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Internal change;Suppletion;Reduplication,Mostly suffixing,More than one basic order,Mostly head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/14 6:44:57 PM AST,1a93c6fc556aba49,adcb380a67cfffce,Pite Saami,"Wilbur, J. (2014). A grammar of Pite Saami. Berlin: Language Science Press.","Yes, my grammar was great to work with",Fusional;Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding;Internal change;Suppletion;Stress or tone shift,Exclusively suffixing,SVO,Mostly head-initial,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2018/01/14 9:36:15 PM AST,e3be87372a860719,37146ca9f3ea6da0,Wardaman ,"Merlan, Francesca. A Grammar of Wardaman: a Language of the Northern Territory of Australia. Mouton De Gruyter, 1994.","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Reduplication,Mostly suffixing,No basic word order (at least seemingly free word order),Mixed headedness (roughly equal initial/final),"Has agreement, with a nominative/accusative alignment","Has case, with an ergative/absolutive alignment"
2018/01/14 9:38:26 PM AST,a2498e5fce977d5f,6cc69c08a039a952,Manchu,"Gorelova, L. M. (2002). Manchu grammar. Leiden: Brill.","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding;Reduplication;Conversion,Exclusively suffixing,SOV,Consistently head-final,Doesn't have agreement,"Has case, with a nominative/accusative alignment"
2018/01/14 10:10:23 PM AST,38808baed6493393,5036e582ef33c219,Osage," Quintero, Carolyn. Osage Grammar. Lincoln: University of Nebraska Press, 2004.","Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Prefixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing,SOV,Consistently head-final,"Has agreement, with some other sort of alignment",Doesn't have case
2018/01/14 11:55:29 PM AST,bce34d9805c00c74,6a3dc4cb364dda43,Tommo So,"A Grammar of Tommo So, Laura McPherson, Walter de Gruyter GmbH (Berlin/Boston), 2013","Yes, my grammar was fine to work with (even if not perfect)",Fusional,Affixation (prefixation or suffixation);Suffixation;Compounding;Root-and-pattern;Internal change;Suppletion;Stress or tone shift;Reduplication;Conversion,An equal mix of affixation and other word-formation strategies,SOV,Mostly head-final,"Has agreement, with a nominative/accusative alignment","Has case, with some other sort of alignment"
2018/01/15 12:02:09 AM AST,ce0f31e997fab73a,ad92c6c64ee0d68f,Warrongo,"A Grammar of Warrongo, Tasaku, Tsunoda, De Gruyter, 2011-12-23","My grammar was great in that the EBook was very organized, but I feel that having a hard copy on hand would have been very nice. (I didn't see one in the libraries)",Agglutinating,Affixation (prefixation or suffixation);Suffixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing,SOV,Consistently head-final,Doesn't have agreement,"Has case, with some other sort of alignment"
2018/01/15 12:09:52 AM AST,f21c069ced49f432,c5c909266d31eb70,Arapaho,"Cowell, A., & Moss Sr, A. (2008). The Arapaho Language. University Press of Colorado.","Maybe (e.g., perhaps only for a student with a linguistics background)",Fusional;Polysynthetic,Affixation (prefixation or suffixation);Suffixation;Prefixation;Infixation;Compounding;Internal change;Stress or tone shift;Reduplication,Mostly suffixing,SVO,Consistently head-initial,"Has agreement, with some other sort of alignment",Doesn't have case
