Timestamp,Username,Your name,Your language,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different word-formation strategies in your language?
2019/11/23 6:02:50 PM EST,89baa243c23c4135,26cc7b853e2cc0fc,Qaqet,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Suppletion;Reduplication,Roughly even mix of prefixing and suffixing
2019/11/25 10:52:59 PM EST,589788a487cab97d,9cadd43cc7cbbc67,Bukawa,"Yes, my grammar was great to work with",Fusional;Agglutinating,Suffixation;Prefixation;Infixation;Compounding;Reduplication,An equal mix of affixation and other word-formation strategies
2019/11/25 11:39:33 PM EST,7e71a72bfbac289c,28cd3cc0828232fc,Maori,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Compounding;Reduplication,An equal mix of affixation and other word-formation strategies
2019/11/26 12:09:18 AM EST,26483a1f20f0cbe8,f04474a5f78c75ff,Kuuk Thaayorre,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing
2019/11/26 9:20:25 AM EST,c2b3104824c98edc,4c3ecd2dc1412e10,Manange,"Yes, my grammar was fine to work with (even if not perfect)",Isolating,Suffixation;Prefixation;Compounding;Suppletion;Reduplication,Complex word-formation is very infrequent; my language is mostly isolating.
2019/11/26 10:22:05 AM EST,99e28e7f10e9eef1,c90517195d7898ad,Western Garrwa,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing
2019/11/26 1:53:41 PM EST,a08b1d93796a0a3c,8ef62b0b01c3db12,Nuosu,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (but not isolating),Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing
2019/11/26 5:02:46 PM EST,16de941fb181f351,f3621117b12d39ea,Puyuma,"Yes, my grammar was great to work with",Analytic (but not isolating);Fusional,Suffixation;Prefixation;Infixation;Reduplication,Mostly prefixing
2019/11/26 6:08:59 PM EST,bbb14152852462da,51042dfd7848d80c,Daakaka,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (but not isolating),Suffixation;Prefixation;Infixation;Compounding;Suppletion;Reduplication,Mostly suffixing
2019/11/26 8:53:05 PM EST,3766ee372ee8792f,0a3c4127fec1d96e,Onondaga,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating;Polysynthetic,Suffixation;Prefixation;Compounding;Root-and-pattern;Internal change,Mostly prefixing
2019/11/27 12:06:27 AM EST,1b5223ffa2a9588d,1c936c304a35951d,Cherokee,"Maybe (e.g., perhaps only for a student with a linguistics background)",Fusional;Polysynthetic,Suffixation;Prefixation;Internal change;Stress or tone shift,Mostly prefixing
2019/11/27 9:34:04 AM EST,c99ad1d0ab7bc277,cc11db56536e2d42,Tariana,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Compounding;Internal change;Suppletion;Stress or tone shift,Mostly suffixing
2019/11/27 11:25:14 AM EST,900f4dae43b7c1b6,b451b862416f57da,Upper Necaxa Totonac ,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing
2019/11/28 11:18:40 AM EST,ab824a03c9e3a651,5b951991693d13e6,Choctaw,"Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Suffixation;Prefixation;Infixation;Suppletion,Roughly even mix of prefixing and suffixing
2019/11/30 6:44:56 PM EST,4fa0c60924922367,eedf008f5d66f1ec,Old Irish,"I needed to consult multiple grammars to gain sufficient data. This was very linguistically interesting to read, but I would not recommend this course of action if the student did not have a decent knowledge of and interest in linguistics.",Fusional;Polysynthetic,Suffixation;Prefixation;Infixation;Compounding;Suppletion;Reduplication,Roughly even mix of prefixing and suffixing
2019/12/02 12:44:51 PM EST,51474e000891f722,c3bd81b2cadd7a36,Tamil,"Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Suffixation;Compounding;Suppletion;Reduplication,Mostly suffixing
2019/12/02 1:28:12 PM EST,3631a33bb26f35d5,5ff58c5abe00433f,Sierra Popoluca,"Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Suffixation;Compounding;Reduplication,An equal mix of affixation and other word-formation strategies
2019/12/02 1:46:36 PM EST,85f83568d73a60fc,965011a23da5d967,Nzadi,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (but not isolating),Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Roughly even mix of prefixing and suffixing
2019/12/02 6:58:52 PM EST,c99454ebe711ebe8,f73be0137076ab82,Creek (Muskogee),"Yes, my grammar was great to work with",Agglutinating,Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift,Roughly even mix of prefixing and suffixing
2019/12/02 10:34:29 PM EST,268c107fdd3f1061,5d5efb2d43faa004,Kurdish,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing
