Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, long vowels, etc.)?",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following aspects of syllables are allowed in your language?
2021/09/30 4:07:40 PM MDT,d0da7ae49ba57256,e195f967a8245cdb,Xong,China,Hmong-Mien,6a,65,15,80,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/ŋ/;/f/;/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/qʰ/;/ʋ/;/q/",Affricates;Labialized;Palatalized;Aspirated,/a/;/o/;/i/;/u/,/ɛ/;/ɤ/;/ɑ/,Nasalized vowels;Diphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2021/10/01 6:18:30 AM MDT,f9be1e019ca6893f,b48bd244e6cfe2fc,Khatso,China,Sino-Tibetan,6b,24,18,42,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/f/;/ɲ/;/z/;/ts/;/x/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/ɣ/",Affricates;Aspirated,/o/;/i/;/ɨ/;/ɯ/,/ɛ/;/aᶠ/;/ɤ/,Diphthongs;Triphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2021/10/01 12:12:11 PM MDT,a94d0990ee6fe308,4f189b8944a6a6f6,Kuuk Thaayorre,Australia,Pama-Nyungan,6b,16,10,26,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/",/ɻ/;/c/,None of the above,/a/;/e/;/o/;/i/;/u/,None of the above,Long vowels,"There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC)"
2021/10/02 11:12:29 AM MDT,3a360033acbec561,34a7fefff6da11be,Wardaman,Australia,Australian,8a,17,11,28,"/n/ (including dental, alveolar, or postalveolar /n/);/m/;/j/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ɲ/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ɖ/;/ɳ/;/ɻ/;/ɭ/;/ɟ/;/ʎ/",None of the above,/e/;/i/;/u/,/ɛ/;/aᶠ/;/ɪ/;/ʊ/;/ɔ/,Long vowels,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2021/10/02 1:08:12 PM MDT,e3d0797a4962a807,90bbbbd2341237b4,Halkomelem (Musqueam dialect),Canada (BC),Salish,8a,36,16,52,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/ʃ/;/ʔ/;/tʃ/;/ts/;/x/",/θ/;/ɬ/;/q/;/χ/,Ejectives;Affricates;Labialized,/i/;/u/;/ə/,/ɛ/;/ɑ/,Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC);CCCC onset (syllable with four onset consonants, e.g., CCCCV or CCCCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC)"
2021/10/02 6:25:13 PM MDT,45e0d7865bbf58b9,9ab858277bf42bb5,Kokota,"Santa Isabel, Solomon Islands",Austronesian ,6b,22,5,27,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/v/",/ɣ/,None of the above,/a/;/e/;/o/;/i/;/u/,None of the above,None of the above,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC)"
2021/10/03 1:25:22 AM MDT,ff0a6a6e88870a79,9a192689f24e8f5c,Semelai,Malaysia (Malay peninsula),Austroasiatic,6b,32,20,52,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/cʰ/;/kʰ/;/c/",Aspirated,/e/;/o/;/i/;/u/;/ə/;/ʉ/,/ɛ/;/aᶠ/;/ɔ/;/ɒ/,Nasalized vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/03 3:46:52 PM MDT,8e964f19dbbe5d6a,5cac6cbccecee26d,Puyuma,Taiwan,Austronesian ,8a,18,4,22,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/)",/ʈ/;/ɖ/;/ɭ/,None of the above,/a/;/i/;/u/;/ə/,None of the above,None of the above,"There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/03 9:19:44 PM MDT,40cc4076c949554a,d9be822960ababf3,Longxi Qiang,China,Sino-Tibetan,6b,29,21,50,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/z/;/ts/;/x/;/v/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/qʰ/;/dz/;/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/ʂ/;/ʐ/;/ç/;/q/;/χ/;/ʁ/",Affricates;Aspirated,/e/;/o/;/i/;/u/;/ə/;/y/,/aᶠ/,Diphthongs;Triphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2021/10/04 2:21:25 PM MDT,a87d7beaebf27483,1dcaf0583cc359da,Kurdish,"Iran, Iraq, Turkey, Syria",Indo-European,6b,31,9,40,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/ʔ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/ts/;/x/;/v/",/ʋ/;/θ/;/ð/;/dz/;/ɬ/;/ʒ/;/ɽ/;/ʎ/;/ɣ/;/q/;/ħ/;/ʕ/,Affricates;Velarized,/a/;/e/;/o/;/i/;/u/;/ə/;/ɨ/,/ɪ/;/ɔ/,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC)"
