Timestamp,Username,Your name,Your language,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different word-formation strategies in your language?,4. What is(/are) the basic word order(s) of your language?,5. How does your language pattern with respect to headedness?
2021/11/08 4:09:22 PM EST,f9be1e019ca6893f,b48bd244e6cfe2fc,Khatso,"Yes, my grammar was great to work with",Isolating,Suffixation;Compounding;Reduplication,Mostly non-affixal word-formation strategies,SOV,Consistently head-final
2021/11/08 4:35:40 PM EST,40cc4076c949554a,d9be822960ababf3,Longxi Qiang,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Roughly even mix of prefixing and suffixing,SOV,Consistently head-final
2021/11/08 4:52:55 PM EST,8e964f19dbbe5d6a,25f4b8245d0ad54d,Puyuma,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Infixation;Reduplication,Mostly prefixing,VOS,Consistently head-initial
2021/11/08 11:24:13 PM EST,45e0d7865bbf58b9,9ab858277bf42bb5,Kokota,"Maybe (e.g., perhaps only for a student with a linguistics background)",Agglutinating,Suffixation;Compounding;Reduplication,Exclusively suffixing,SVO,Consistently head-initial
2021/11/09 1:19:07 PM EST,a94d0990ee6fe308,4f189b8944a6a6f6,Kuuk Thaayorre,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,SOV,Mixed headedness (roughly equal initial/final)
2021/11/09 2:27:30 PM EST,a4abcd84e941fc3a,2f2179e1eb711de2,Jarawara,"Maybe (e.g., perhaps only for a student with a linguistics background)",Fusional;Polysynthetic,Suffixation;Prefixation;Compounding;Internal change;Reduplication,Mostly suffixing,SVO;OSV,Mostly head-final
2021/11/10 4:09:36 AM EST,ff0a6a6e88870a79,9a192689f24e8f5c,Semelai,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Infixation;Compounding;Reduplication,An equal mix of affixation and other word-formation strategies,"No basic word order (i.e., at least seemingly free word order)",Consistently head-initial
2021/11/10 5:32:55 PM EST,3a360033acbec561,34a7fefff6da11be,Wardaman,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation,Roughly even mix of prefixing and suffixing,SVO;VOS;OVS,Mixed headedness (roughly equal initial/final)
2021/11/10 9:15:36 PM EST,a87d7beaebf27483,1dcaf0583cc359da,Kurdish,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Infixation;Compounding;Reduplication,Mostly suffixing,SOV,Mostly head-initial
2021/11/11 8:26:01 PM EST,d0da7ae49ba57256,e195f967a8245cdb,Xong,"Yes, my grammar was fine to work with (even if not perfect)",Isolating,Suffixation;Prefixation;Compounding;Reduplication,Mostly prefixing,SVO,Mixed headedness (roughly equal initial/final)
2021/11/11 8:57:14 PM EST,e85df41f4d673f19,f37c27febbec66c2,Yintyingka,"Yes, my grammar was great to work with",Fusional,Suffixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing,SOV,Mostly head-final
2021/11/11 9:49:13 PM EST,446afe9485814472,5c673cb2c0ee3003,Domari,"Maybe (e.g., perhaps only for a student with a linguistics background)",Fusional;Agglutinating,Suffixation;Prefixation;Suppletion,Mostly suffixing,"No basic word order (i.e., at least seemingly free word order)",Consistently head-initial
2021/11/12 12:10:13 AM EST,f971ebb5bd7978bc,56643df0dea5e2cd,Ute,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Compounding;Reduplication,Mostly suffixing,SOV,Consistently head-final
2021/11/12 11:22:49 AM EST,47c75b257b4996c2,2d4259d47841c902,Bathari,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Infixation;Root-and-pattern,Roughly even mix of prefixing and suffixing,SVO;VSO,Consistently head-initial
2021/11/12 4:38:50 PM EST,f8822ca4bfbd55b8,e1a52563add02426,Siwi Berber,"Yes, my grammar was fine to work with (even if not perfect)",Fusional;Agglutinating;Polysynthetic,Suffixation;Prefixation;Compounding;Internal change;Stress or tone shift;Reduplication,Mostly prefixing,SVO,Mostly head-initial
2021/11/12 6:18:46 PM EST,e4747812fb6b3b6f,6f42214328e4950b,Wambule,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,SOV,Mostly head-final
2021/11/12 8:11:50 PM EST,38f207a85af0abf8,9ce0e5557251ba48,Kurux,"Yes, my grammar was great to work with",Analytic (but not isolating),Suffixation;Compounding;Suppletion;Reduplication,An equal mix of affixation and other word-formation strategies,SOV,Consistently head-final
2021/11/13 3:46:49 PM EST,f2cfc47d16d837d4,d38d32f9d0c5ea15,Kurtop,"Yes, my grammar was great to work with",Agglutinating,Suffixation;Prefixation;Internal change;Suppletion;Stress or tone shift;Reduplication,Mostly suffixing,SOV,Consistently head-final
2021/11/14 12:23:07 PM EST,fc7fa8e2b0df6f3b,e1d95fa0f39d757c,Maori,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (but not isolating),Suffixation;Prefixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing,VSO,Consistently head-initial
2021/11/15 9:48:44 AM EST,e3d0797a4962a807,90bbbbd2341237b4,Halkomelem (Musqueam dialect),"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating;Polysynthetic,Suffixation;Prefixation;Infixation;Compounding;Internal change;Reduplication,An equal mix of affixation and other word-formation strategies,VSO,Consistently head-initial
