Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, long vowels, nasalized vowels, vowels with distinct tones, etc.)?",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following characteristics of syllables are allowed in your language?
2022/09/29 2:59:25 PM MDT,922a750c5c243a2e,4ccca2d748f48ae9,Tamashek (Tuareg of Mali),Mali,Afro-Asiatic,5,25,7,32,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/tʃ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/;/z/",/ʒ/;/χ/;/ʁ/,Affricates;Palatalized;Pharyngealized,/e/;/o/;/i/;/u/;/ə/,/æ/;/ɑ/,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal consonants).;There is stress in the language, and stress is mostly predictable (follows a set pattern).;There is stress in the language, but stress is not predictably placed.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2022/09/29 3:35:25 PM MDT,a2bb3fbd0ffdaa52,2e5e6bff5a16aa56,Choctaw,United States,Muskogean ,6b,16,9,25,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/ʃ/;/ʔ/;/tʃ/;/f/",/ɬ/,None of the above,/a/;/o/;/i/,None of the above,Nasalized vowels;Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2022/09/29 4:55:25 PM MDT,ccb97fd941772e76,5f37ddf2a74084d3,Cavineña,Bolivia,Pano-Tacanan,6b,20,4,24,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ɲ/;/ts/","/ɹ/ (including dental, alveolar, or postalveolar /ɹ/);/c/;/ʎ/",Affricates;Labialized,/a/;/e/;/i/;/ɯ/,None of the above,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2022/09/29 9:20:19 PM MDT,38038f7d64be59c1,c6005d0f90fa50e0,Sarazi,India,Indo-European,6a,37,25,62,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʃ/;/tʃ/;/r/ (including dental, alveolar, or postalveolar /r/);/z/;/ts/;/dʒ/","/pʰ/;/bʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/dʰ/ (including dental, alveolar, or postalveolar /dʰ/);/ʈʰ/;/ɖʰ/;/kʰ/;/gʰ/;/dz/;/ʈ/;/ɖ/;/ɳ/;/ɽ/",Affricates;Aspirated,/a/;/e/;/o/;/ə/,/ɪ/;/ʊ/,Nasalized vowels;Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2022/09/30 1:11:09 PM MDT,10be9a113fdb083e,3e2e80565a0123c6,Musqueam,Canada,Salish,8a,39,9,48,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/ʃ/;/ʔ/;/tʃ/;/f/;/ts/;/x/",/θ/;/ɬ/;/q/;/χ/,Affricates;Labialized;Glottalized,/a/;/e/;/i/;/u/;/ə/,None of the above,Long vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, but stress is not predictably placed.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC);CCCC onset (syllable with four onset consonants, e.g., CCCCV or CCCCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC);CCC coda (syllable with three coda consonants, e.g., VCCC or CVCCC);CCCC coda (syllable with four coda consonants, e.g., VCCCC or CVCCCC)"
2022/09/30 6:33:55 PM MDT,2feed8ec1034a677,10d0afdab7bd0542,Jingulu,Australia,Non-Pama-Nyungan,8a,17,6,23,"/n/ (including dental, alveolar, or postalveolar /n/);/m/;/k/;/j/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/ŋ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/",/ɖ/;/ɳ/;/ɻ/;/ɭ/;/ɟ/;/ʎ/,None of the above,/a/;/i/;/u/,None of the above,Long vowels,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2022/10/01 10:53:06 AM MDT,a602bad9a7c5d4c5,4309408410882739,Jarawara,Brazil,Arawá,6b,12,4,16,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/ʔ/",/ɸ/;/ɟ/,None of the above,/a/;/e/;/i/,/ɤ/,None of the above,None of the above,"V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2022/10/01 3:12:20 PM MDT,a649b61d864fb71b,4103f6e568b80bee,Xong,Southwestern China,The Miao-Yao (also called Hmong-Mien) language family,6a,65,14,79,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/ŋ/;/f/;/z/;/ts/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/kʰ/;/qʰ/;/ʋ/;/q/",Affricates;Palatalized;Aspirated;Pre-nasalized,/a/;/o/;/i/;/u/,/ɛ/;/aᶠ/;/ɤ/,Nasalized vowels;Diphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.","C onset (syllable with a single onset consonant, e.g., CV or CVC)"
2022/10/02 5:52:57 PM MDT,c302d97ffa0c1fda,f2bea9e823791660,Puyuma,Taiwan,Austronesian,8a,18,4,22,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/)",/ʈ/;/ɖ/;/ɭ/,None of the above,/a/;/i/;/u/;/ə/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2022/10/02 7:50:39 PM MDT,9243390ad32543c2,29aa52a3501fdabc,Cherokee,What is now the United States.,iroquoian,8a,23,42,65,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ʔ/;/tʃ/;/ts/;/dʒ/",/ɮ/,Affricates;Labialized;Palatalized;Velarized;Aspirated;Glottalized,/a/;/e/;/o/;/i/;/u/;/ʌ/,None of the above,Long vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC)"
