Timestamp,Username,Your name,Your language,Please list the publisher and author of your grammar,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different types of AFFIXATION in your language?,4. Which of these best describes the frequency of NON-affixational word-formation strategies in your language?,"5. What sorts of functional morphology does your language have (whether affixal, through a morphological process, or free i.e. as a function word)?",6. What is(/are) the basic word order(s) of your language?,7. How does your language pattern with respect to headedness?
2025/11/18 1:51:48 PM EST,489afca6d9b14ed1,48069ed8a878c604,Puyuma (Nanwang Dialect),"Author: Stacy Fang-Ching Teng; Publisher: Canberra, A.C.T. : Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift;Reduplication,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",VOS,Consistently head-initial
2025/11/18 11:24:12 PM EST,efa5a36ce1e9b777,16b05e0b3cc5e286,Qiang (Northern Dialect),"Publisher: De Gruyter, Inc. Author: Randy J. LaPolla","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2025/11/19 3:45:25 PM EST,c61c033f7fbb0763,4dca9546ce161595,Gyeli,Autor: Nadine Grimm Publisher: Language Science Press,"Yes, my grammar was great to work with","Analytic (= has derivational but not inflectional morphology);Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Mostly prefixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO,Mostly head-initial
2025/11/20 8:37:12 AM EST,01afc31f5f3a1046,60d3acfe8229ad33,Semelai,Cambridge Grammatical Descriptions; Nicole Kruspe,"Yes, my grammar was fine to work with (even if not perfect)","Analytic (= has derivational but not inflectional morphology);Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift;Reduplication,Mostly prefixing,Most word-formation involves non-affixal word-formation strategies,"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood)",SVO;VSO;VOS,Mostly head-initial
2025/11/20 4:03:50 PM EST,1955d6e363648d3f,953efedfc19d637d,Nganasan,Publisher: Brill Author: Beáta Wagner-Nagy,"Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Compounding;Conversion,Exclusively suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","SOV;No basic word order (i.e., at least seemingly free word order)",Mostly head-final
2025/11/22 11:35:12 AM EST,c40c22a63199c15e,9905cd3053903722,Crow,"Author = Randolph Graczyk, Publisher = University of Nebraska Press / Lincoln  and London","Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Infixation;Compounding;Reduplication,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2025/11/22 4:16:09 PM EST,2fd174fdf2e4abce,bc6726844af6bf3d,Unua,"Elizabeth Pearce,  De Gruyter Mouton","Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Reduplication;Conversion,Roughly even mix of prefixing and suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO,Mixed headedness (roughly equal initial/final)
2025/11/22 4:57:31 PM EST,0133531771b9982d,6c8548e56c9e5e50,Jejueo,"Publisher: University of Hawai'i Press; Authors: Yang, Changyong; Yang, Sejung; O'Grady, William","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Compounding,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV;OSV,Consistently head-final
2025/11/22 6:26:19 PM EST,96f286b1a0817124,7202fce3e3e70b4e,Kunbarlang,Ivan Kapitonov,"Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Reduplication,Mostly prefixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mostly head-initial
2025/11/22 8:41:03 PM EST,7eee4bc0bddcdc2f,6d9d3ec4d28b315d,Koyee,"Tara Mani Rai, LINCOM GmbH","Yes, my grammar was fine to work with (even if not perfect)","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Mostly head-final
