Timestamp,Username,Your name,Your language,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different word-formation strategies in your language?,4. What is(/are) the basic word order(s) of your language?,5. How does your language pattern with respect to headedness?,6. How does your language behave with respect to agreement?,7. How does your language behave with respect to case?
2019/04/24 11:28:09 PM AST,60ecbeff6022767b,7ce0cf60039d68ed,Aguaruna,"Yes, my grammar was great to work with",Agglutinating,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,SOV,Consistently head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2019/04/25 10:48:00 AM AST,16970d0d38ee6355,b9d1942e85d0f05f,Magar,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing,SOV,Mostly head-final,"Has agreement, with an ergative/absolutive alignment","Has case, with some other sort of alignment"
2019/04/25 1:55:43 PM AST,a9a13527e03f2b16,6342f227aa730562,Emai,"Yes, my grammar was fine to work with (even if not perfect)",Agglutinating,Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,An equal mix of affixation and other word-formation strategies,SVO,Consistently head-initial,Doesn't have agreement,Doesn't have case
2019/04/25 3:56:02 PM AST,fa6c1f39227d52a9,00062e1b23a2a2a0,Arapaho,"Yes, my grammar was fine to work with (even if not perfect)",Fusional;Polysynthetic,Suffixation;Prefixation;Infixation;Compounding;Stress or tone shift;Reduplication,Roughly even mix of prefixing and suffixing,No basic word order (at least seemingly free word order),Mostly head-initial,"Has agreement, with some other sort of alignment",Doesn't have case
2019/04/25 5:09:22 PM AST,67ccf39f9d3cf421,9174469e28c00715,Sierra Popoluca,"Yes, my grammar was great to work with",Agglutinating;Polysynthetic,Suffixation;Compounding;Reduplication,An equal mix of affixation and other word-formation strategies,SVO,Mostly head-initial,"Has agreement, with an ergative/absolutive alignment","Has case, with an ergative/absolutive alignment"
2019/04/25 7:25:47 PM AST,566f9d8af046e159,fae8bde4d944594e,Kawaiisu,"Yes, my grammar was fine to work with (even if not perfect)",Polysynthetic,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,SOV,Mixed headedness (roughly equal initial/final),"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2019/04/25 7:58:41 PM AST,440095b751008753,c082c6bad7b33ff5,Qiang,"Yes, my grammar was fine to work with (even if not perfect)",Fusional;Polysynthetic,Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Roughly even mix of prefixing and suffixing,SOV,Consistently head-final,"Has agreement, with a nominative/accusative alignment","Has case, with a nominative/accusative alignment"
2019/04/25 8:17:28 PM AST,c87a3cffd87252d3,9e543bae63e5e98c,Kokota,"No, my grammar was hard to work with",Fusional,Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,SVO,Consistently head-initial,"Has agreement, with some other sort of alignment",Doesn't have case
2019/04/26 1:21:28 PM AST,7c74f93736568198,6f65402a9150c21e,Yimas,"My answer is maybe, for a student with linguistics background. I took LIN 201, and I still found the grammar difficult to understand at times. I can't imagine how a student who is brand new to linguistics would understand it (unless they take the time to read it cover to cover). It is also quite long (~500 pages), so it was hard to know if I covered all of the essential topics in my wikipedia page. ",Fusional;Polysynthetic,Suffixation;Prefixation;Compounding;Suppletion;Reduplication,Roughly even mix of prefixing and suffixing,No basic word order (at least seemingly free word order),Consistently head-final,"Has agreement, with an ergative/absolutive alignment","Has case, with some other sort of alignment"
2019/04/26 7:50:06 PM AST,d8705294429726b3,44dc5bf2b58c8be0,Manchu,"Yes, my grammar was fine to work with (even if not perfect)",Analytic (but not isolating),Suffixation;Compounding;Stress or tone shift;Reduplication,Exclusively suffixing,SOV;OSV,Mostly head-final,Doesn't have agreement,"Has case, with a nominative/accusative alignment"
2019/04/26 11:05:50 PM AST,53e2e183e0682e34,27f339afcd5f7c05,Maia,"Yes, my grammar was fine to work with (even if not perfect)",Fusional,Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Mostly non-affixal word-formation strategies,SOV,Mostly head-final,"Has agreement, with some other sort of alignment",Doesn't have case
